record_id,db_source,author,year,title,doi,reviewer1,reviewer2,reviewer3,exclusion_reason
1341,Scopus,Sakhaei R.,2021,"Cardiovascular and Renal Effects of Hibiscus Sabdariffa Linnaeus. in Patients with Diabetic Nephropathy: A Randomized, Double-Blind, Controlled Trial",10.18502/jnfs.v6i2.6062,include,include,include,
1342,Scopus,Singh V.,2018,"Allium schoenoprasum L.: a review of phytochemistry, pharmacology and future directions",10.1080/14786419.2017.1367783,exclude,exclude,exclude,Review or non-original article
1343,Scopus,Bischoff S.C.,2020,ESPEN practical guideline: Clinical nutrition in liver disease,10.1016/j.clnu.2020.09.001,exclude,exclude,exclude,Other reason not meeting eligibility criteria
1344,Scopus,Solverson P.M.,2019,An anthocyanin-rich mixed-berry intervention may improve insulin sensitivity in a randomized trial of overweight and obese adults,10.3390/nu11122876,include,include,include,
1345,Scopus,Sánchez-Gloria J.L.,2020,Nutraceuticals in the treatment of pulmonary arterial hypertension,10.3390/ijms21144827,exclude,exclude,exclude,Review or non-original article
1346,Scopus,Alavizadeh S.H.,2014,Bioactivity assessment and toxicity of crocin: A comprehensive review,10.1016/j.fct.2013.11.016,exclude,exclude,exclude,Review or non-original article
1347,Scopus,Ghini V.,2020,DHA-induced perturbation of human serum metabolome. Role of the food matrix and Co-administration of oat β-glucan and anthocyanins,10.3390/nu12010086,exclude,exclude,exclude,Other reason not meeting eligibility criteria
1348,Scopus,Oh J.S.,2017,Association of dietary flavonoid intake with prevalence of type 2 diabetes mellitus and cardiovascular disease risk factors in korean women aged ≥30 years,10.3177/jnsv.63.51,exclude,exclude,exclude,Observational design
1349,Scopus,Chu A.J.,2014,Antagonism by bioactive polyphenols against inflammation: A systematic view,10.2174/1871528112666131119211002,exclude,exclude,exclude,Review or non-original article
1350,Scopus,Prabhakar P.,2020,Antidiabetic phytochemicals: A comprehensive review on opportunities and challenges in targeted therapy for herbal drug development,10.31838/ijpr/2020.sp1.242,exclude,exclude,exclude,Review or non-original article
1351,Scopus,Lavanya B.,2018,A review on potential uses of culinary vegetables used in routine life as an anticancer agent,10.22159/ajpcr.2018.v11i8.25457,exclude,exclude,exclude,Review or non-original article
1352,Scopus,Parmar T.,2020,Retinoid analogs and polyphenols as potential therapeutics for age-related macular degeneration,10.1177/1535370220926938,exclude,exclude,exclude,Review or non-original article
1353,Scopus,Pastellidou E.,2021,Blackcurrant extract does not affect the speed–duration relationship during high-intensity running,10.1080/17461391.2020.1771428,exclude,exclude,exclude,Other reason not meeting eligibility criteria
1354,Scopus,Siasos G.,2013,Flavonoids in atherosclerosis: An overview of their mechanisms of action,10.2174/0929867311320210003,exclude,exclude,exclude,Review or non-original article
1355,Scopus,Putta S.,2015,A review on fruit pericarp a rich source of phytochemicals and pharmacological activities,,exclude,exclude,exclude,Review or non-original article
1356,Scopus,Dzugan M.,2018,The comparison of the physicochemical parameters and antioxidant activity of homemade and commercial pomegranate juices,10.17306/j.afs.2018.0529,exclude,exclude,exclude,Review or non-original article
1357,Scopus,Dias T.R.,2016,Emerging potential of natural products as an alternative strategy to pharmacological agents used against metabolic disorders,10.2174/1389200217666160229113629,exclude,exclude,exclude,Review or non-original article
1358,Scopus,Adjatin A.,2013,Phytochemical screening and toxicity studies of Crassocephalum rubens (Juss. ex Jacq.) S. Moore and Crassocephalum crepidioides (Benth.) S. Moore consumed as vegetable in Benin,,exclude,exclude,exclude,Review or non-original article
1359,Scopus,Tasic N.,2021,"Black chokeberry Aronia melanocarpa extract reduces blood pressure, glycemia and lipid profile in patients with metabolic syndrome: a prospective controlled trial",10.1007/s11010-021-04106-4,include,include,include,
1360,Scopus,Montanari S.,2021,No effects of different doses of New Zealand blackcurrant extract on cardiovascular responses during rest and submaximal exercise across a week in trained male cyclists,10.1123/ijsnem.2020-0164,include,include,include,
1361,Scopus,Calderón-Pérez L.,2021,Interplay between dietary phenolic compound intake and the human gut microbiome in hypertension: A cross-sectional study,10.1016/j.foodchem.2020.128567,include,include,include,
1362,Scopus,Cook M.D.,2020,"Effect of New Zealand Blackcurrant on Blood Pressure, Cognitive Function and Functional Performance in Older Adults",10.1080/21551197.2019.1707740,include,include,include,
1363,Scopus,Ou J.L.S.,2020,Effects of anthocyanins in composite meals on cardiometabolic outcomes—a systematic review of randomized controlled feeding trials,10.3390/nu12123781,include,include,include,
1364,Scopus,Si L.Y.-N.,2017,Roselle is cardioprotective in diet-induced obesity rat model with myocardial infarction,10.1016/j.lfs.2017.10.030,exclude,exclude,exclude,Animal or in vitro study
1365,Scopus,Nomura S.,2017,Comparison of the effects of three tea cultivars (Camellia sinensis L.) on nitric oxide production and aortic soluble guanylate cyclase expression in high-salt diet-fed spontaneously hypertensive rats,10.3177/jnsv.63.306,exclude,exclude,exclude,Animal or in vitro study
1366,Scopus,Fidelis M.,2020,"Camu-camu seed (Myrciaria dubia) – From side stream to an antioxidant, antihyperglycemic, antiproliferative, antimicrobial, antihemolytic, anti-inflammatory, and antihypertensive ingredient",10.1016/j.foodchem.2019.125909,exclude,exclude,exclude,Animal or in vitro study
1367,Scopus,Yamane T.,2017,Aronia juice suppresses the elevation of postprandial blood glucose levels in adult healthy Japanese,10.1016/j.yclnex.2017.01.002,exclude,exclude,exclude,Other reason not meeting eligibility criteria
1368,Scopus,Ilkun O.,2013,Cardiac dysfunction and oxidative stress in the metabolic syndrome: An update on antioxidant therapies,10.2174/1381612811319270003,exclude,exclude,exclude,Review or non-original article
1369,Scopus,Rashid S.,2018,Polyphenol-Rich Blackcurrant Juice Prevents Endothelial Dysfunction in the Mesenteric Artery of Cirrhotic Rats with Portal Hypertension: Role of Oxidative Stress and the Angiotensin System,10.1089/jmf.2017.0078,exclude,exclude,exclude,Animal or in vitro study
1370,Scopus,Patel S.,2014,Hibiscus sabdariffa: An ideal yet under-exploited candidate for nutraceutical applications,10.1016/j.bionut.2013.10.004,exclude,exclude,exclude,Review or non-original article
1371,Scopus,Ahamad J.,2021,A critical review on the unexplored therapeutic treasure of himalayan ayurvedic drug daruharidra (Berberis aristata),10.2174/2215083806999201117160106,exclude,exclude,exclude,Review or non-original article
1372,Scopus,Eliášová M.,2017,Total phenolic content and antioxidant activity of tritordeum wheat and barley,,exclude,exclude,exclude,Review or non-original article
1373,Scopus,Ahmad A.,2013,Effects of selected bioactive natural products on the vascular endothelium,10.1097/fjc.0b013e3182927e47,exclude,exclude,exclude,Review or non-original article
1374,Scopus,Chumpookam J.,2019,Antioxidant activity and nutritional value in mature fruit of seven mulberry cultivars,10.17660/actahortic.2019.1245.12,exclude,exclude,exclude,Review or non-original article
1375,Scopus,Kuzan A.,2021,Toxicity of advanced glycation end products (Review),10.3892/br.2021.1422,exclude,exclude,exclude,Review or non-original article
1376,Scopus,Tenore G.C.,2019,Effect of Annurca Apple Polyphenols on Intermittent Claudication in Patients With Peripheral Artery Disease,10.1016/j.amjcard.2018.11.034,exclude,exclude,exclude,Other reason not meeting eligibility criteria
1377,Scopus,Ebrahimabadi M.H.,2021,Immunomodulatory effects of medicinal plants used for vitiligo in traditional persian medicine,10.2174/1570163817666200517115438,exclude,exclude,exclude,Review or non-original article
1378,Scopus,Robles-Rivera R.R.,2020,Adjuvant Therapies in Diabetic Retinopathy as an Early Approach to Delay Its Progression: The Importance of Oxidative Stress and Inflammation,10.1155/2020/3096470,exclude,exclude,exclude,Review or non-original article
1379,Scopus,Cullen A.E.,2020,The impact of dietary supplementation of whole foods and polyphenols on atherosclerosis,10.3390/nu12072069,exclude,exclude,exclude,Review or non-original article
1380,Scopus,Dodd G.F.,2019,Acute effects of flavonoid-rich blueberry on cognitive and vascular function in healthy older adults,10.3233/nha-180056,include,include,include,
1381,Scopus,Neves M.F.,2018,Effects of nutrients and exercises to attenuate oxidative stress and prevent cardiovascular disease,10.2174/1381612825666190116143824,exclude,exclude,exclude,Review or non-original article
1382,Scopus,Arya V.S.,2020,Modulation of Renin-Angiotensin System by Aqueous Extract of Large Cardamom: In vitro and in silico Studies,10.1080/22311866.2020.1838947,exclude,exclude,exclude,Animal or in vitro study
1383,Scopus,Man A.W.C.,2020,The roles of gut microbiota and circadian rhythm in the cardiovascular protective effects of polyphenols,10.1111/bph.14850,exclude,exclude,exclude,Review or non-original article
1384,Scopus,Pérez-Torres I.,2013,"Hibiscus Sabdariffa Linnaeus (Malvaceae), curcumin and resveratrol as alternative medicinal agents against metabolic syndrome",10.2174/1871525711311010006,exclude,exclude,exclude,Review or non-original article
1385,Scopus,Moroşanu A.I.,2011,Antioxidant effect of aronia versus sambucus on murine model with or without arterial hypertension,,exclude,exclude,exclude,Animal or in vitro study
1386,Scopus,Nileeka Balasuriya B.W.,2011,Plant flavonoids as angiotensin converting enzyme inhibitors in regulation of hypertension,10.31989/ffhd.v1i5.132,exclude,exclude,exclude,Review or non-original article
1387,Scopus,Labinskyy N.,2006,"Vascular dysfunction in aging: Potential effects of resveratrol, an anti-inflammatory phytoestrogen",10.2174/092986706776360987,exclude,exclude,exclude,Review or non-original article
1388,Scopus,Kumar D.,2012,The genus Crataegus: Chemical and pharmacological perspectives,10.1590/s0102-695x2012005000094,exclude,exclude,exclude,Review or non-original article
1389,Scopus,Champalal K.D.,2011,Detailed profile of Crocus sativus,,exclude,exclude,exclude,Review or non-original article
1390,Scopus,Varela B.G.,2004,"Phoradendron liga (Gill. ex H. et A.) Eichl. (Viscaceae) used in folk medicine: Anatomical, phytochemical, and immunochemical studies",10.1016/j.jep.2004.04.027,exclude,exclude,exclude,Animal or in vitro study
1391,Scopus,Pandey K.B.,2009,Plant polyphenols as dietary antioxidants in human health and disease,10.4161/oxim.2.5.9498,exclude,exclude,exclude,Review or non-original article
1392,Scopus,Dwivedi S.,2007,Terminalia arjuna Wight & Arn.-A useful drug for cardiovascular disorders,10.1016/j.jep.2007.08.003,exclude,exclude,exclude,Review or non-original article
1393,Scopus,Shoba G.,2010,Flavonoids - Natural therapeutic agents for polycystic kidney disease,,exclude,exclude,exclude,Review or non-original article
