study_id,author,year,design,corr_r,shared_ctrl_id,source,form,anthocyanin_dose_mg_day,dose_quantified,duration_weeks,duration_band,bp_status,population,outcome,n_int,mean_int,sd_int,n_ctrl,mean_ctrl,sd_ctrl,rob2_overall,notes
47,Cheng,2024,parallel,,,wild blueberry,extract,11.1,y,0,acute,normotensive,healthy older,SBP,28,0,9.7,28,4,9.7,low,[EFFECT RECOVERED] difference read from Figure 7; SE obtained from p = 0.038 with n = 28; SD as SE x sqrt(n). Design recorded as parallel because the derived variance already reflects the paired design. Excluded in a sensitivity analysis.
47,Cheng,2024,parallel,,,wild blueberry,extract,11.1,y,0,acute,normotensive,healthy older,DBP,28,0,11.31,28,5,11.31,low,[EFFECT RECOVERED] SE obtained from p = 0.027 with n = 28. Excluded in a sensitivity analysis.
49,Kimble,2021,parallel,,,tart cherry,extract,71,y,12,long,normotensive,middle-aged adults,SBP,14,117,14,14,118,11,some concerns,"POST Table 3, 3 months."
49,Kimble,2021,parallel,,,tart cherry,extract,71,y,12,long,normotensive,middle-aged adults,DBP,14,73,9,14,73,8,some concerns,POST Table 3.
50a,Hillman,2026,parallel,,,tart cherry,juice,,n,4,short,normotensive,healthy adults,SBP,15,122,11,15,119,9,high,POST Table 3. Juice arm against its own placebo. Dose not reported in mg.
50a,Hillman,2026,parallel,,,tart cherry,juice,,n,4,short,normotensive,healthy adults,DBP,15,72,5,15,76,8,high,POST Table 3. Juice arm.
50b,Hillman,2026,parallel,,,tart cherry,extract,,n,4,short,normotensive,healthy adults,SBP,15,114,9,15,121,12,high,POST Table 3. Capsule arm against its own placebo.
50b,Hillman,2026,parallel,,,tart cherry,extract,,n,4,short,normotensive,healthy adults,DBP,15,70,4,15,73,8,high,POST Table 3. Capsule arm.
51,Dohadwala,2011,crossover,,,cranberry,juice,94,y,4,short,hypertensive,CAD patients,SBP,44,133,18,44,135,18,some concerns,POST Table 3.
51,Dohadwala,2011,crossover,,,cranberry,juice,94,y,4,short,hypertensive,CAD patients,DBP,44,73,9,44,74,9,some concerns,POST Table 3.
53,Keane,2016,crossover,,,tart cherry,juice,68,y,0,acute,normotensive,middle-aged adults,SBP,27,-6,2,27,0,2,some concerns,CHANGE: reduccion pico 6+-2 mmHg a 1h (p=0.002). Control codificado como 0 sin cambio. DBP sin cambios reportados.
55,Chan,2021,crossover,,,bilberry,extract,350,y,4,short,hypertensive,T2D,SBP,20,119.9,11.6,20,121.8,9.3,some concerns,POST Table 2.
55,Chan,2021,crossover,,,bilberry,extract,350,y,4,short,hypertensive,T2D,DBP,20,74.4,7.9,20,75.6,9.4,some concerns,POST Table 2.
59,Herrera-Arellano,2007,crossover,,,blueberry,food,348,y,0,acute,normotensive,healthy men,SBP,10,118.6,8.7,10,121.3,8.5,some concerns,"POST Table 4, 1h acute."
59,Herrera-Arellano,2007,crossover,,,blueberry,food,348,y,0,acute,normotensive,healthy men,DBP,10,73.9,6.1,10,76.3,10.3,some concerns,POST Table 4.
68,Montanari,2021,crossover,,,NZBC,extract,210,y,1,acute,normotensive,trained cyclists,SBP,13,122,13,13,123,14,some concerns,"POST Table 2, 7 days, at rest."
68,Montanari,2021,crossover,,,NZBC,extract,210,y,1,acute,normotensive,trained cyclists,DBP,13,68,9,13,69,6,some concerns,POST Table 2.
69,Asgary,2014,parallel,,,pomegranate,juice,,n,2,short,hypertensive,hypertensive adults,SBP,11,124.55,15.72,11,128,13.17,some concerns,"POST Tables 2-3. Antocianinas 5.8 mg/100 mL, daily dose not calculated."
69,Asgary,2014,parallel,,,pomegranate,juice,,n,2,short,hypertensive,hypertensive adults,DBP,11,76.36,6.74,11,85,8.5,some concerns,POST Tables 2-3.
